Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
BRION,T1,08/02/2023,0.3202,,0.04222,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.45312,,0.18811,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.40115,,0.052,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.44011,,0.00629,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.26281,,0.00049,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.38424,,0.46527,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.5406,,0.44804,BRION,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.49385,,0.00111,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.28241,,2e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.36246,,0.01099,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.29523,,0.00031,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.49492,,0.00156,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.23546,,7e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.4376,,0.37114,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.12309,,0.27203,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.41076,,0.00364,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.58223,,0.00025,BRION,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.45901,,0.00885,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.37128,,0.0011,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.31387,,0.20971,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.36569,,0.12772,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.26578,,0.00109,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.18949,,3e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.34676,,0.00066,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.49403,,2e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.49351,,0.16262,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.29595,,0.0153,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.27753,,0.00014,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.14928,,0.0,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.34136,,0.11903,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.19757,,0.04091,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.31466,,0.17103,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.17456,,0.12372,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.27768,,0.02279,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.2117,,0.00383,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.4286,,0.23176,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.24918,,0.09267,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.42043,,0.09308,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.44383,,0.03903,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.37368,,0.00053,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.21213,,2e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.4537,,0.0035,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.32828,,4e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.47937,,0.0003,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.18424,,1e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.23679,,0.00293,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.19307,,0.00026,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.44045,,0.01259,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.10115,,0.0002,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.24368,,0.00263,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.14737,,0.0,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.3807,,0.01662,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.09949,,0.00104,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.35004,,0.02807,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.14973,,0.00239,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.45402,,0.01757,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.25991,,0.00103,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.30198,,0.00624,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.14644,,0.00018,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.47363,,0.09683,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.43474,,0.02009,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.27638,,0.08409,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.21932,,0.01466,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.48694,,0.13521,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.4845,,0.0023,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.29022,,0.0069,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.176,,0.0009,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.28463,,0.00816,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.22826,,0.00045,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.32693,,0.01161,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.36004,,0.00063,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.46761,,0.06864,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.36621,,0.0079,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.31538,,0.00692,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.38202,,0.00048,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.39086,,0.00154,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.29612,,4e-05,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.44555,,0.06508,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.25499,,0.02897,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.36718,,0.0156,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.15796,,0.00104,T1,,T1,,,
Kwangdong Freecs,Liiv SANDBOX,08/02/2023,0.22542,,0.00022,Liiv SANDBOX,,Liiv SANDBOX,,,
BRION,T1,08/02/2023,0.08697,,1e-05,T1,,T1,,,
