Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
Team Liquid,TSM,27/02/2022,0.966,0.999,0.988,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Counter Logic Gaming,Evil Geniuses,27/02/2022,0.199,0.001,0.368,Evil Geniuses,Evil Geniuses,Evil Geniuses,N,N,N
Cloud9,FlyQuest,27/02/2022,0.827,0.999,0.843,Cloud9,Cloud9,Cloud9,Y,Y,Y
Golden Guardians,Immortals,27/02/2022,0.478,0.999,0.843,Immortals,Golden Guardians,Immortals,N,Y,N
100 Thieves,Dignitas,27/02/2022,0.882,0.999,0.89,100 Thieves,100 Thieves,100 Thieves,N,N,N
Fredit BRION,Hanwha Life Esports,02/03/2022,0.66,0.533,1.0,Fredit BRION,Fredit BRION,Fredit BRION,Y,Y,Y
DWG KIA,Liiv SANDBOX,02/03/2022,0.752,0.999,1.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Gen.G,T1,03/03/2022,0.485,0.053,0.0,T1,T1,T1,Y,Y,Y
Kwangdong Freecs,Nongshim RedForce,03/03/2022,0.634,0.999,0.448,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,Y,Y,Y
Rogue,SK Gaming,04/03/2022,0.985,0.999,1.0,Rogue,Rogue,Rogue,N,N,N
Astralis,Misfits Gaming,04/03/2022,0.102,0.493,0.033,Misfits Gaming,Misfits Gaming,Misfits Gaming,Y,Y,Y
Excel Esports,G2 Esports,04/03/2022,0.368,0.001,0.494,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
MAD Lions,Team Vitality,04/03/2022,0.403,0.999,0.498,Team Vitality,MAD Lions,Team Vitality,N,Y,N
Fnatic,Team BDS,04/03/2022,0.912,0.999,0.998,Fnatic,Fnatic,Fnatic,Y,Y,Y
DRX,KT Rolster,04/03/2022,0.495,0.486,0.082,KT Rolster,KT Rolster,KT Rolster,N,N,N
DWG KIA,Hanwha Life Esports,04/03/2022,0.802,0.999,1.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
Excel Esports,SK Gaming,05/03/2022,0.564,0.465,0.527,Excel Esports,SK Gaming,Excel Esports,Y,N,Y
Astralis,MAD Lions,05/03/2022,0.38,0.001,0.498,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
Fnatic,Misfits Gaming,05/03/2022,0.516,0.999,0.068,Fnatic,Fnatic,Misfits Gaming,N,N,Y
Rogue,Team BDS,05/03/2022,0.927,0.999,1.0,Rogue,Rogue,Rogue,Y,Y,Y
G2 Esports,Team Vitality,05/03/2022,0.727,0.999,0.981,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
Gen.G,Kwangdong Freecs,05/03/2022,0.67,0.999,0.47,Gen.G,Gen.G,Kwangdong Freecs,Y,Y,N
Fredit BRION,Nongshim RedForce,05/03/2022,0.656,0.508,0.001,Fredit BRION,Fredit BRION,Fredit BRION,Y,Y,Y
Evil Geniuses,Immortals,05/03/2022,0.561,0.998,0.686,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
FlyQuest,TSM,05/03/2022,0.681,0.474,1.0,FlyQuest,TSM,FlyQuest,Y,N,Y
100 Thieves,Team Liquid,05/03/2022,0.485,0.006,0.509,Team Liquid,Team Liquid,100 Thieves,Y,Y,N
Cloud9,Golden Guardians,05/03/2022,0.698,0.001,0.915,Cloud9,Golden Guardians,Cloud9,Y,N,Y
Counter Logic Gaming,Dignitas,05/03/2022,0.307,0.487,0.497,Dignitas,Dignitas,Dignitas,Y,Y,Y
Misfits Gaming,SK Gaming,06/03/2022,0.507,0.498,1.0,Misfits Gaming,SK Gaming,Misfits Gaming,N,Y,N
Astralis,Team Vitality,06/03/2022,0.463,0.001,0.573,Team Vitality,Team Vitality,Astralis,Y,Y,N
Excel Esports,Fnatic,06/03/2022,0.387,0.001,0.014,Fnatic,Fnatic,Fnatic,Y,Y,Y
MAD Lions,Team BDS,06/03/2022,0.72,0.999,0.998,MAD Lions,MAD Lions,MAD Lions,Y,Y,Y
G2 Esports,Rogue,06/03/2022,0.497,0.003,0.005,Rogue,Rogue,Rogue,Y,Y,Y
DRX,Liiv SANDBOX,06/03/2022,0.528,0.999,0.803,DRX,DRX,DRX,Y,Y,Y
KT Rolster,T1,06/03/2022,0.17,0.001,0.0,T1,T1,T1,Y,Y,Y
Immortals,Team Liquid,06/03/2022,0.205,0.001,1.0,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
100 Thieves,Counter Logic Gaming,06/03/2022,0.741,0.999,0.999,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Cloud9,Evil Geniuses,06/03/2022,0.521,0.999,0.988,Cloud9,Cloud9,Cloud9,Y,Y,Y
