left_win,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute
1,17,7,30.516666666666666,0.7865,0.5552880418301614,0.241862,4405.0,0.0,1.0,1.0,7.0,1.0,0.0,0.6,0.5,1.0,1.0,0.758076634109692,0.5343915343915344,2.6543,0.7209175314036046,0.852,7,17,30.516666666666666,0.7865,0.44471195816983855,-0.241862,-4405.0,1.0,0.0,0.0,1.0,0,1.0,0.4,0.5,0.0,0.0,0.6811168258633358,0.4656084656084656,1.9989,0.8847624249044238,0.9175
0,5,19,21.983333333333334,1.0917,0.42872897004513744,-0.156962,-1892.0,0.0,0.0,0.0,4.0,0.5,0.0,0,0.5,0.5,0.0,0.6563745019920318,0.37454545454545457,1.8196,0.6823351023502653,0.7733,19,5,21.983333333333334,1.0917,0.5712710299548626,0.156962,1892.0,1.0,1.0,1.0,4.0,0.5,1.0,1.0,0.5,0.5,0.0,0.7956131605184447,0.6254545454545455,2.229,0.7733131159969674,0.6823
0,15,25,31.666666666666668,1.2632,0.45157603048146866,-0.148384,-5233.0,1.0,1.0,0.0,2.0,1.0,0.0,0,0.5,0.0,0.0,0.6553323029366306,0.35945945945945945,3.2842,1.1368421052631579,1.7368,25,15,31.666666666666668,1.2632,0.5484239695185313,0.148384,5233.0,0.0,0.0,1.0,3.0,0,1.0,1.0,0.5,1.0,1.0,0.7776096822995462,0.6405405405405405,3.7579,1.1368421052631579,1.4842
0,8,25,27.166666666666668,1.2147,0.42909183673469387,-0.20772600000000002,-4665.0,0.0,0.0,0.0,2.0,0,1.0,0.25,0.5,0.0,0.0,0.7243947858472998,0.38837920489296635,2.319,0.9570552147239263,0.6994,25,8,27.166666666666668,1.2147,0.5709081632653061,0.20772600000000002,4665.0,1.0,1.0,1.0,8.0,1.0,0.0,0.75,0.5,1.0,1.0,0.6960950764006791,0.6116207951070336,2.5399,0.8834355828220859,0.9571
1,24,8,29.583333333333332,1.0817,0.5594008553872588,0.154844,2439.0,1.0,1.0,1.0,6.0,1.0,0.0,0.5,0.5,1.0,1.0,0.7143906020558003,0.5607235142118863,2.8732,1.1830985915492958,1.0817,8,24,29.583333333333332,1.0817,0.44059914461274113,-0.154844,-2439.0,0.0,0.0,0.0,4.0,0,1.0,0.5,0.5,0.0,0.0,0.7067783701447068,0.4392764857881137,2.4676,0.7436619718309859,0.9803
0,8,17,27.083333333333332,0.9231,0.42298653487316556,-0.258538,-3164.0,1.0,0.0,0.0,0.0,0,0.0,0.25,0.5,0.0,0.0,0.6251896813353566,0.408,2.5846,0.6646153846153846,1.1077,17,8,27.083333333333332,0.9231,0.5770134651268344,0.258538,3164.0,0.0,1.0,1.0,9.0,1.0,1.0,0.75,0.5,1.0,1.0,0.7981072555205048,0.592,2.9169,1.5138461538461538,1.3662
1,21,5,24.483333333333334,1.0619,0.5868347828111721,0.278057,3249.0,0.0,1.0,1.0,10.0,1.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.7608915906788247,0.5492957746478874,2.4915,1.1027910142954391,0.9394,5,21,24.483333333333334,1.0619,0.413165217188828,-0.278057,-3249.0,1.0,0.0,0.0,1.0,0,1.0,0.6666666666666666,0.5,0.0,0.0,0.6703078450844091,0.4507042253521127,2.2464,1.1027910142954391,0.6943
1,20,11,32.666666666666664,0.949,0.5623989959770312,0.240957,3303.0,1.0,1.0,1.0,9.0,1.0,0.0,0.6,0.5,1.0,1.0,0.7272727272727273,0.6410891089108911,3.0,1.0408163265306123,1.3469,11,20,32.666666666666664,0.949,0.43760100402296875,-0.240957,-3303.0,0.0,0.0,0.0,3.0,0,1.0,0.4,0.5,0.0,0.0,0.6857142857142857,0.3589108910891089,2.6633,1.0102040816326532,1.1327
0,8,22,26.966666666666665,1.1125,0.414607403196004,-0.25601999999999997,-4321.0,0.0,0.0,0.0,1.0,0,1.0,0.5,0.5,0.0,0.0,0.6379726468222043,0.388268156424581,2.8925,0.927070457354759,1.0012,22,8,26.966666666666665,1.1125,0.585392596803996,0.25601999999999997,4321.0,1.0,1.0,1.0,9.0,1.0,0.0,0.5,0.5,1.0,1.0,0.7839155158407799,0.611731843575419,2.707,0.815822002472188,1.0012
1,15,8,30.416666666666668,0.7562,0.5028796059486597,-0.0858857,-319.0,1.0,0.0,0.0,1.0,0.5,0.0,0.6,0.5,1.0,1.0,0.6906584992343032,0.4530386740331492,3.6493,1.1506849315068493,1.2822,8,15,30.416666666666668,0.7562,0.49712039405134034,0.0858857,319.0,0.0,1.0,1.0,6.0,0.5,1.0,0.4,0.5,0.0,0.0,0.7534668721109399,0.5469613259668509,2.663,0.8876712328767123,1.5781
1,42,24,35.18333333333333,1.8759,0.5342421411177894,0.049361199999999994,2502.0,1.0,1.0,1.0,11.0,1.0,0.0,0.5,0.5,1.0,1.0,0.696885813148789,0.5390070921985816,2.8707,1.1653244907626719,1.1085,24,42,35.18333333333333,1.8759,0.46575785888221055,-0.049361199999999994,-2502.0,0.0,0.0,0.0,5.0,0,1.0,0.5,0.5,0.0,0.0,0.7079455977093773,0.46099290780141844,2.1885,0.5968735196589294,0.9664
0,7,22,24.9,1.1647,0.41847319908790187,-0.285222,-3714.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6666666666666666,0.5,0.0,0.0,0.6684931506849315,0.3564356435643564,2.4096,0.9638554216867471,0.8835,22,7,24.9,1.1647,0.5815268009120982,0.285222,3714.0,1.0,1.0,1.0,8.0,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,0.7834224598930482,0.6435643564356436,2.8916,1.244979919678715,0.9639
1,22,1,21.933333333333334,1.0486,0.628623471246422,0.44181499999999996,8060.0,1.0,1.0,1.0,11.0,0.5,1.0,1.0,0.5,0.5,0.0,0.9104972375690608,0.7165354330708661,2.5532,1.0486322188449848,0.6383,1,22,21.933333333333334,1.0486,0.37137652875357796,-0.44181499999999996,-8060.0,0.0,0.0,0.0,1.0,0.5,0.0,0,0.5,0.5,0.0,0.5588842975206612,0.28346456692913385,2.0973,0.5927051671732523,0.5015
1,25,15,27.2,1.4706,0.542026212759243,0.0503045,-90.0,0.0,0.0,0.0,4.0,0,0.0,0.25,0.5,1.0,1.0,0.7602283539486203,0.45302013422818793,2.6838,0.7352941176470589,1.1029,15,25,27.2,1.4706,0.457973787240757,-0.0503045,90.0,1.0,1.0,1.0,4.0,1.0,1.0,0.75,0.5,0.0,0.0,0.6942222222222222,0.5469798657718121,2.6838,0.9558823529411765,0.9191
0,11,17,33.1,0.8459,0.4752003447504289,-0.0080393,4025.0,0.0,1.0,1.0,8.0,1.0,0.0,0.6,0.5,0.0,0.0,0.6871325930764206,0.47183098591549294,3.7462,1.0574018126888216,1.1178,17,12,33.1,0.8459,0.5247996552495712,0.0080393,-4025.0,1.0,0.0,0.0,2.0,0,1.0,0.4,0.5,1.0,1.0,0.751664447403462,0.528169014084507,2.9909,0.9667673716012084,1.4199
0,11,18,29.3,0.9898,0.4727641390549644,-0.0362494,437.0,0.0,0.0,1.0,6.0,0.5,0.0,0.25,0.5,0.0,0.0,0.6596573208722741,0.46195652173913043,2.8328,0.7508532423208191,0.8191,18,11,29.3,0.9898,0.5272358609450356,0.0362494,-437.0,1.0,1.0,0.0,10.0,0.5,1.0,0.75,0.5,1.0,1.0,0.7594529364440868,0.5380434782608695,2.6621,1.1604095563139931,1.3652
0,13,34,24.466666666666665,1.921,0.4131412670516361,-0.23315500000000003,-3725.0,1.0,0.0,0.0,3.0,0.5,0.0,0.25,0.5,0.0,0.0,0.6714431934493347,0.4074074074074074,2.9428,0.8174386920980927,1.3896,34,13,24.466666666666665,1.921,0.5868587329483639,0.23315500000000003,3725.0,0.0,1.0,1.0,6.0,0.5,1.0,0.75,0.5,1.0,1.0,0.8252118644067796,0.5925925925925926,3.6376,1.3896457765667576,1.5531
1,15,14,29.666666666666668,0.9438,0.551198081637766,0.164852,6764.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7726300784034212,0.6592039800995025,2.6629,0.9775280898876404,1.382,13,16,29.666666666666668,0.9438,0.44880191836223404,-0.164852,-6764.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.0,0.0,0.6428571428571429,0.3407960199004975,2.4607,0.8764044943820224,0.7416
0,32,30,33.766666666666666,1.8361,0.5102037696623202,0.129904,187.0,1.0,0.0,1.0,4.0,0,0.0,0.4,0.5,1.0,1.0,0.6601164483260553,0.5495283018867925,2.2804,0.6219151036525173,0.77,30,32,33.766666666666666,1.8361,0.4897962303376798,-0.129904,-187.0,0.0,1.0,0.0,5.0,1.0,1.0,0.6,0.5,0.0,0.0,0.704422032583398,0.45047169811320753,2.31,0.7699901283316881,0.8885
1,21,5,22.2,1.1712,0.5727866829520127,0.185643,4668.0,0.0,1.0,1.0,7.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.0,0.7411764705882353,0.5961538461538461,2.3874,0.990990990990991,0.6306,5,21,22.2,1.1712,0.4272133170479872,-0.185643,-4668.0,1.0,0.0,0.0,2.0,0,0.0,0.3333333333333333,0.5,0.5,0.0,0.6921373200442967,0.40384615384615385,1.7568,0.5855855855855856,0.9459
0,11,18,22.516666666666666,1.2879,0.4433105407231786,-0.21209099999999997,-2190.0,1.0,1.0,0.0,6.0,0.5,0.0,0.3333333333333333,0.5,0.0,0.0,0.6776859504132231,0.4,2.3538,0.6217616580310881,0.5774,18,11,22.516666666666666,1.2879,0.5566894592768215,0.21209099999999997,2190.0,0.0,0.0,1.0,7.0,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,0.75,0.6,1.7321,0.6217616580310881,0.8438
0,18,27,32.96666666666667,1.365,0.47401569664039683,-0.0289279,1819.0,1.0,1.0,1.0,10.0,1.0,1.0,0.6,0.5,0.0,0.0,0.6794871794871795,0.4630071599045346,2.6694,1.122345803842265,1.092,27,18,32.96666666666667,1.365,0.5259843033596032,0.0289279,-1819.0,0.0,0.0,0.0,4.0,0,0.0,0.4,0.5,1.0,1.0,0.7236467236467237,0.5369928400954654,2.6694,0.6976744186046511,0.9403
0,15,26,33.833333333333336,1.1823,0.45212559134210356,-0.158323,-4407.0,0.0,1.0,0.0,7.0,1.0,0.0,0,0.0,0.0,0.0,0.681912681912682,0.4619164619164619,2.8374,1.0935960591133005,1.3596,25,15,33.833333333333336,1.1823,0.5478744086578965,0.158323,4407.0,1.0,0.0,1.0,10.0,0,1.0,1.0,1.0,1.0,1.0,0.750351617440225,0.538083538083538,2.6601,0.8571428571428571,1.2709
1,24,15,34.68333333333333,1.1245,0.5343515663809622,0.0426816,2069.0,0.0,0.0,1.0,5.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6796598157335223,0.5267175572519084,2.7102,0.9226333493512735,1.6723,15,24,34.68333333333333,1.1245,0.46564843361903785,-0.0426816,-2069.0,1.0,1.0,0.0,6.0,0.5,0.0,0,0.0,0.0,0.0,0.749060856498873,0.4732824427480916,2.9986,1.0091302258529553,0.9226
0,17,29,25.616666666666667,1.7957,0.4262247479985067,-0.113882,-4664.0,0.0,0.0,0.0,1.0,0,1.0,0.6666666666666666,0.5,0.0,0.0,0.6793587174348698,0.519298245614035,2.3422,1.014964216005205,0.9759,29,17,25.616666666666667,1.7957,0.5737752520014934,0.113882,4664.0,1.0,1.0,1.0,10.0,1.0,0.0,0.3333333333333333,0.5,1.0,1.0,0.7373949579831933,0.4807017543859649,2.2251,0.8588158750813273,1.2492
